-DOCSTART- -X- -X- O
නොකර NNP B-VP O
වෙරළාසන්න NNP B-VP O
භූමිය NNP B-VP O
පුරවා NNP B-VP O
අවශ්‍ය NNP B-VP O
ඉඩ NNP B-VP O
ප්‍රමාණය NNP B-VP O
ලබා NNP B-VP O
ගැනීමට NNP B-VP O
කටයුතු NNP B-VP O
කෙරෙන NNP B-VP O
බව NNP B-VP O
සේනාධිරාජා NNP B-VP I-PER
ප්‍රකාශ NNP B-VP O
කර NNP B-VP O
ඇත NNP B-VP O
. . O O

රැඳවුම් NNP B-VP O
භාරයේ NNP B-VP O
සිටින NNP B-VP O
හිටපු NNP B-VP O
ත්‍රස්‌ත NNP B-VP O
ක්‍රියාකාරීන් NNP B-VP O
215 NNP B-VP O
කට NNP B-VP O
පොදු NNP B-VP O
සමාව NNP B-VP O
නොදෙන NNP B-VP O
බවත් NNP B-VP O
ශ්‍රී NNP B-VP B-LOC
ලංකාවේ NNP B-VP I-LOC
දේශපාලන NNP B-VP O
සිරකරුවන් NNP B-VP O
නැති NNP B-VP O
බවත් NNP B-VP O
ජනාධිපති NNP B-VP I-PER
මෛත්‍රීපාල NNP B-VP B-PER
සිරිසේන NNP B-VP I-PER
මහතා NNP B-VP O
ඉන්දීය NNP B-VP B-LOC
හින්දු NNP B-VP I-ORG
පුවත්පත NNP B-VP I-ORG
සමඟ NNP B-VP O
සාකච්ඡාවකට NNP B-VP O
එක්‌වෙමින් NNP B-VP O
ප්‍රකාශ NNP B-VP O
කර NNP B-VP O
ඇත NNP B-VP O
. . O O

ත්‍රස්‌ත NNP B-VP O
මර්දන NNP B-VP O
පනත NNP B-VP O
අහෝසි NNP B-VP O
කරන NNP B-VP O
ලෙසත් NNP B-VP O
ද්‍රවිඩ NNP B-VP O
දේශපාලන NNP B-VP O
සිරකරුවන් NNP B-VP I-PER
මුදාහරින NNP B-VP O
ලෙසත් NNP B-VP O
ඉල්ලීම් NNP B-VP O
කර NNP B-VP O
ඇතැයි NNP B-VP O
පැවසූ NNP B-VP O
ඒ NNP B-VP O
මහතා NNP B-VP O
ත්‍රස්‌තවාදය NNP B-VP O
නිසා NNP B-VP O
බටහිර NNP B-VP I-LOC
රටවල් NNP B-VP O
ද NNP B-VP O
ප්‍රශ්නවලට NNP B-VP O
මුහුණපා NNP B-VP O
ඇතැයි NNP B-VP O
කීවේය NNP B-VP O
. . O O

ජිනීවා NNP B-VP B-LOC
යෝජනාව NNP B-VP O
අනුව NNP B-VPO
යුද NNP B-VP O
අපරාධ NNP B-VP O
චෝදනා NNP B-VP O
විමර්ශනය NNP B-VP O
සඳහා NNP B-VP O
විශේෂ NNP B-VP O
අධිකරණය NNP B-VP O
ස්‌ථාපිත NNP B-VP O
කිරීමට NNP B-VP O
ශ්‍රී NNP B-VP B-LOC
ලංකාවට NNP B-VP I-LOC
හදිසියක්‌ NNP B-VP O
නැතැයි NNP B-VP O
ද NNP B-VP O
මෛත්‍රීපාල NNP B-VP B-PER
සිරිසේන NNP B-VP I-PER
මහතා NNP B-VP O
විසින් NNP B-VP O
සඳහන් NNP B-VP O
කර NNP B-VP O
ඇත NNP B-VP O
. . O O

ජිනීවා NNP B-VP B-LOC
යෝජනාවෙන් NNP B-VP O
අපට NNP B-VP O
නියෝගයක්‌ NNP B-VP O
කර NNP B-VP O
නැහැ NNP B-VP O
යෑයි NNP B-VP O
ද NNP B-VP O
හෙතෙම NNP B-VP O
කියා NNP B-VP O
සිටී NNP B-VP O
. . O O

යෝජිත NNP B-VP O
ආණ්‌ඩුක්‍රම NNP B-VP O
ව්‍යවස්‌ථාව NNP B-VP O
සම්බන්ධයෙන් NNP B-VP O
තමා NNP B-VP O
ජනවාරි NNP B-VP O
9 NNP B-VP O
දා NNP B-VP O
පාර්ලිමේන්තුවේදී NNP B-VP B-LOC
ප්‍රකාශයක්‌ NNP B-VP O
කරන NNP B-VP O
බව NNP B-VP O
පළ NNP B-VP O
කළ NNP B-VP O
ඒ NNP B-VP O
මහතා NNP B-VP O
මේ NNP B-VP O
ව්‍යවස්‌ථා NNP B-VP O
සංශෝධනයට NNP B-VP O
විශේෂඥයන්ගේ NNP B-VP O
සහය NNP B-VP O
ලබාගන්නා NNP B-VP O
බව NNP B-VP O
ද NNP B-VP O
පළ NNP B-VP O
කළේය NNP B-VP O
. . O O

ශ්‍රී NNP B-VP B-LOC
ලංකාවේ NNP B-VP I-LOC
ස්‌වෛරීභාවය NNP B-VP O
සහ NNP B-VP O
ශ්‍රී NNP B-VP B-LOC
ලංකාවේ NNP B-VP I-LOC
හිමිකම් NNP B-VP O
යන NNP B-VP O
කරුණු NNP B-VP O
මත NNP B-VP O
නිසි NNP B-VP O
අධ්‍යයනයක්‌ NNP B-VP O
කිරීමෙන් NNP B-VP O
පසු NNP B-VP O
තම NNP B-VP O
සංශෝධන NNP B-VP O
ඇතුළත් NNP B-VP O
කරන NNP B-VP O
බව NNP B-VP O
ද NNP B-VP O
මෛත්‍රීපාල NNP B-VP B-PER
සිරිසේන NNP B-VP I-PER
මහතා NNP B-VP O
සඳහන් NNP B-VP O
කළේය NNP B-VP O
. . O O

රගර් NNP B-VP O
ක්‍රීඩක NNP B-VP O
වසීම් NNP B-VP B-PER
තාජුඩීන්ගේ NNP B-VP I-PER
මරණය NNP B-VP O
සම්බන්ධයෙන් NNP B-VP O
රහස්‌ NNP B-VP O
පොලිසිය NNP B-VP O
විසින් NNP B-VP O
යොමු NNP B-VP O
කරනු NNP B-VP O
ලැබූ NNP B-VP O
සීසීටීවී NNP B-VP O
දර්ශනවල NNP B-VP O
සිටින NNP B-VP O
පුද්ගලයන් NNP B-VP O
හා NNP B-VP O
වාහන NNP B-VP O
අංක NNP B-VP O
කිසිවක්‌ NNP B-VP O
පැහැදිලිව NNP B-VP O
හඳුනාගත NNP B-VP O
නොහැකි NNP B-VP O
බව NNP B-VP O
කොළඹ NNP B-VP B-LOC
විශ්වවිද්‍යාලයේ NNP B-VP I-ORG
පරිගණක NNP B-VP O
අංශය NNP B-VP O
ඊයේ NNP B-VP O
අධිකරණයට NNP B-VP O
දැනුම් NNP B-VP O
දෙනු NNP B-VP O
ලැබීය NNP B-VP O
. . O O

තාජුඩීන් NNP B-VP B-PER
සිද්ධිය NNP B-VP O
පිළිබඳ NNP B-VP O
විමර්ශන NNP B-VP O
සිදුකරන NNP B-VP O
රහස්‌ NNP B-VP O
පොලිසිය NNP B-VP O
අධිකරණයෙන් NNP B-VP O
කරන NNP B-VP O
ලද NNP B-VP O
ඉල්ලීමකට NNP B-VP O
අනුව NNP B-VP O
කොළඹ NNP B-VP B-LOC
අතිරේක NNP B-VP O
මහෙස්‌ත්‍රාත් NNP B-VP O
නිශාන්ත NNP B-VP B-PER
පීරිස්‌ NNP B-VP I-PER
මහතා NNP B-VP O
තාජුඩීන් NNP B-VP B-PER
මියගිය NNP B-VP O
දින NNP B-VP O
ගමන් NNP B-VP O
ගත් NNP B-VP O
රථය NNP B-VP O
හා NNP B-VP O
එය NNP B-VP O
පසුපස NNP B-VP O
එන NNP B-VP O
තවත් NNP B-VP O
රථයක NNP B-VP O
අපැහැදිලි NNP B-VP O
රූප NNP B-VP O
රාමු NNP B-VP O
සහිත NNP B-VP O
සීසීටීවී NNP B-VP O
දර්ශන NNP B-VP O
පරීක්‍ෂා NNP B-VP O
කිරීම NNP B-VP O
සඳහා NNP B-VP O
කොළඹ NNP B-VP B-LOC
විශ්වවිද්‍යාලයට NNP B-VP I-ORG
යොමු NNP B-VP O
කළේය NNP B-VP O
. . O O

අදාළ NNP B-VP O
දර්ශන NNP B-VP O
අනුව NNP B-VP O
තාජුඩීන්ගේ NNP B-VP I-PER
වාහනය NNP B-VP O
හා NNP B-VP O
ඒ NNP B-VP O
පසුපස NNP B-VP O
එන NNP B-VP O
තවත් NNP B-VP O
වාහනයක්‌ NNP B-VP O
පමණක්‌ NNP B-VP O
හඳුනාගත NNP B-VP O
හැකි NNP B-VP O
වුවද NNP B-VP O
ඒවායෙහි NNP B-VP O
අංක NNP B-VP O
පැහැදිලි NNP B-VP O
නැති NNP B-VP O
බව NNP B-VP O
ද NNP B-VP O
කොළඹ NNP B-VP B-LOC
විශ්වවිද්‍යාලයේ NNP B-VP I-ORG
පරිගණක NNP B-VP O
අංශයේ NNP B-VP O
නියෝජිතයෝ NNP B-VP O
අධිකරණය NNP B-VP O
හමුවේ NNP B-VP O
පැවසූහ NNP B-VP O
. . O O

සීගිරිය NNP B-VP B-LOC
සෑදුවේ  NNP B-VP O
කවුරුන් NNP B-VP O
විසින්ද? NNP B-VP O
